Title	URL	Assignees	Status
As a user potentially interested in an event, I want to be able to click on the events to see their description.	https://github.com/echo-swent/echo/issues/224		Done in sprint 4
Create Tables with RLS on Supabase	https://github.com/echo-swent/echo/issues/51	octogradiste, violoncelloCH	Done in sprint 4
Add the repository to the event viewmodel	https://github.com/echo-swent/echo/issues/60	unglazedstamp	Done in sprint 4
Create an event screen	https://github.com/echo-swent/echo/issues/23	unglazedstamp	Done in sprint 4
Create "create event" screen composable	https://github.com/echo-swent/echo/issues/59	unglazedstamp	Done in sprint 4
Add getSubTags method on repository	https://github.com/echo-swent/echo/issues/67	octogradiste	Done in sprint 4
Redesign the `Event` data class.	https://github.com/echo-swent/echo/issues/79	alejandrocalles, violoncelloCH	Done in sprint 4
Modify the `Event` and `UserProfile` data classes.	https://github.com/echo-swent/echo/pull/84	alejandrocalles	Done in sprint 4
Make the filters work on HomeScreen			Product backlog
As a user I want to be able to filter and search events, so I can find them efficiently			Product backlog
As a user who has limited internet connection, I want to be able to use the app offline.			Product backlog
Implement the default/light/dark mode	https://github.com/echo-swent/echo/issues/64	srsingh04	Product backlog
Remove the `SAMPLE_EVENTS` once we can fetch events from the repository.	https://github.com/echo-swent/echo/issues/100	alejandrocalles	Product backlog
As a user, I want to be able to navigate through the app efficiently.			Product backlog
As an event organizer, I want to be able to create and broadcast an event so that students who may be interested are notified.			Product backlog
Simplify the `MapViewProvider` hierarchy	https://github.com/echo-swent/echo/issues/133	alejandrocalles	Product backlog
Discuss the filters and improve the UX		Greenade, ntissieres	Sprint Backlog
Discuss in the team the repository interface		octogradiste, unglazedstamp, violoncelloCH	Sprint Backlog
Adapt the repository interface		octogradiste, violoncelloCH	Sprint Backlog
Discuss how to use the local data source not only for the offline mode, but also for caching.		octogradiste, unglazedstamp, violoncelloCH	Sprint Backlog
allow to subscribe/join to Events	https://github.com/echo-swent/echo/issues/192	octogradiste, violoncelloCH	Sprint Backlog
Show saving animation while the user profile is saved before navigating to the home screen		srsingh04	Sprint Backlog
state object which holds the current network state, for composables and repository	https://github.com/echo-swent/echo/issues/190		Sprint Backlog
App crashes when clicking on the compass icon at the top right of the map screen	https://github.com/echo-swent/echo/issues/163	alejandrocalles	Sprint Backlog
Fix bugs in create / edit event screen	https://github.com/echo-swent/echo/issues/220	unglazedstamp	Sprint Backlog
Mockup "my events" screen	https://github.com/echo-swent/echo/issues/215	Greenade	Sprint Backlog
Mockup "joined events" screen	https://github.com/echo-swent/echo/issues/216	Greenade	Sprint Backlog
As a user I want to be able to see how many participants are participating in a certain event in order to know if there is still place for me and my friends to register.			Product backlog
Create a loading screen to initialize the `AuthenticationService`	https://github.com/echo-swent/echo/issues/105	octogradiste	Product backlog
Differentiate or merge the login and register screens.	https://github.com/echo-swent/echo/issues/101	octogradiste	Product backlog
Image for events	https://github.com/echo-swent/echo/issues/165	octogradiste, violoncelloCH	Product backlog
As an event organizer, I want people to be able to join my events, so that I have an idea of how many attendees to expect			Product backlog
As a user, I want to have an event feed, so that I can see what events are currently going on			Product backlog
As a user, I want to be able to modify my personal profile, so I can update my preferences			Product backlog
As a student that has specific interests, I want to be able to follow associations so that their events show up in my feed first.			Product backlog
As a user I want to be able to pull-to-refresh on the event detail screen, so that I have the latest data.	https://github.com/echo-swent/echo/issues/166		Product backlog
the map's view (position/scale) should be preserved when switching to other screen (e.g. list screen) and back			Product backlog
As a student whose best friend is a UNIL student, I would like to be able to share my live location so that she can find the event easily on the campus and we can find each other amongst the crowd in big events scattered over multiple locations on campus			Product backlog
As curious potential user I want to start using the app without having to create an account: just discover events based on what I like. Then later on when I want to perform an action requiring sign-up I can create an account keeping all the data			Product backlog
As an association we want to be certified, so that we have more visibility and can be trusted by the users			Product backlog
As a user I want to be able to add friends, so I can see what my friends are doing			Product backlog
As a new user, I want to create an account so that my data is kept across sessions.	https://github.com/echo-swent/echo/issues/226		Done in sprint 6
Credit OpenStreetMap.	https://github.com/echo-swent/echo/issues/39	alejandrocalles	Done in sprint 6
SupabaseDataSource: select systemDefault as Timezone when creating the ZonedDateTime objects	https://github.com/echo-swent/echo/issues/162	violoncelloCH	Done in sprint 6
Add edit event to the user flow	https://github.com/echo-swent/echo/issues/227	octogradiste	Done in sprint 6
Write new end-to-end test for the user flows	https://github.com/echo-swent/echo/issues/150	octogradiste	Done in sprint 6
As a user I want to be able to efficiently find the suitable tags by being able to write the fewest possible letters in the search bar	https://github.com/echo-swent/echo/issues/93	unglazedstamp	Done in sprint 6
